T-0, T-1, T-2, T-3, T-4, T-5, T-6, T-7, T-8, T-9
116,62,50,53,65,164,116,15,123,64
nhân_viên, nhiệt_tình, thân_thiện, nhân_viên, nhân_viên, resort, chuyên_nghiệp, nhân_viên, tốt, phục_vụ
vui_vẻ, dễ_thương, ngon, hơi, chu_đáo, đẹp, đội_ngũ, khách_sạn, dịch_vụ, khách
thân_thiện, phòng_ốc, tận_tình, ân_cần, sạch_sẽ, phòng, niềm_nở, hài_lòng, thái_độ, xe
ở_đây, đặc_biệt, chất_lượng, nghỉ, gia_đình, spa, thức_ăn,1, hồ, xúc_động
ok, khác_thường, tại_đây, diệt, nghỉ, nhà_hàng, amiana, đặc_biệt, bơi, sự_lựa_chọn
ăn_sáng, bỏ_qua, địa_danh, điều_kiện, tạo, buffet, lịch_sự, bụi, lắm, đi_bộ
an_ninh, bơi, có_nhiều, sục, xinh_đẹp, thoải_mái, bãi_biển, decor, lễ_tân, vệ_sinh
ý_kiến, bờ_biển, cửa_ra_vào, lo_lắng, ko_biết, cảm_thấy, nha_trang, bọn, khách_hàng, pose
ăn_mặc, cây_cối, điều_kiện, khá_tốt, địa_danh, khung_cảnh, mong_đợi, dài_lâu, đặt, giả
chudu24, thật, có_tiếng, tương_đối, hiếu_khách, yên_tĩnh, chỗ, địa_phương, dưỡng, hen
bé, hoa, khung_cảnh, tivi, rat_thich, thân_thiện, thoáng_mát, 1-2, xúc_động, sàn_gỗ
đặc_sắc, truyền_hình, thư_giãn, bám, xử_lý, trời, quản_lý, làm_cho, hợp, gạch
1km, lau_chùi, sàn_nhà, garden, nhanh_nhẹn, hợp, thuận_lợi, ruồi, chìa_khóa, khâu
bóng_bẩy, tiện, bbq, reply, mọi_người, vị_trí, hồ, vệ_tinh, địa_điểm, gặp_phải
khu, tạm_ổn, ủng_hộ, dơ, né, vàng, ban_công, mìn, chất_lượng, có_lẽ
ngân_sách, bbq, thực_khách, sen, hoạt_động, bánh_bèo, tầm,  ,tắm_biển, vòi
chấp_nhận, một_số, lazy, phan_thiết, bất_tiện, tan_tinh, bóng_bẩy,  ,dãy, 100k
pose, lui, chu_kỳ, ngã, liền, agribank, ngoại_cảnh,  ,cách_âm, 8h
tính_chất, đep, chủ_đạo, receive, ngoài_ra, buồng, trị_an,  ,ảnh_hưởng, hồ_bơi_rộng
rỉ, thực_đơn, chật, mọi_thứ, phô, view, buffet,  ,phun_thuốc, điểm_tâm
du_khách, hướng, cứ_tưởng, bàng, đến_nỗi, bờ_biển, chăm_sóc,  ,diệt, thực_sự_mình
bộ_phận, đáng_tiếc, đạm_bạc, đón_tiếp_khách, gia, bãi_biển, bể,  ,clo, chỉ_có
chăm_chút, bấm, tình_chu, thể, bữa_trưa, có_nhiều, trẻ_em,  ,bể, hôm_đó
sàn, chen_chúc, nghìn, vi, dịp, nội_thất, giường,  ,bề_mặt, cho_dù
mức, độ_sâu, ngắm_cảnh, cuối_cùng, căn_hộ, đạt, kịp,  ,đắt, karaoke
chương_trình, có_nhà_hàng, lễ, ghế_dài, dầu_mỡ, cửa, bỏ_ra,  ,thuê, tôt
truyền_hình, đáng, chay, phục, cable, lá_sách, thua,  ,agribankresort, con_nhỏ
reply, chiều_tối, tâm, karaoke, ổ_cắm, bên_ngoài, kém,  ,vô_cùng, lung_tung
bữa_tối, ban_đầu, nhà_hàng_hải_sản, nóng, từ_đường, đọc, sàn_gỗ,  ,quang_cảnh, relax
đường_truyền, tính_tiền, quyết_định, rèm, dĩa, tồi, lau,  ,kết_nối, ban_ngày
ân_cần, fusion, pax, thay, kid, pose, quần_áo,  ,dính, lập_tức
ms, suite, thu_hút, trẻ_nhỏ, phá, hình, rỉ_sét,  ,chắc_chắn, biển_sạch
okie, village, nhận_được, gần_như, khung, két_sắt, hợp_lí,  ,mỗi_lần, chiều_tối
thịt, được_nước, ẩm, tone, tiếp_khách, bề_mặt, bus,  ,sỉ, đội_ngũ
sẵn, đi_vào, trở_lên, môi_trường, tự_nhiên, tránh, nho,  ,đài, dỡ
giao, lái_xe, máy_sấy_tóc, căn_hộ, tất_nhiên, tầng, mờ,  ,buổi_trưa, đi_biển
tại_nhà, dừa, tùm_lum, bảo_trì, pax, hầu_như, bữa_ăn,  ,tạm_ổn, mảng
hoàng_hải_long, nhận., khuon, hơi_muỗi, tươi, nghiêm_trọng, quay_trở_lại,  ,sôi, 400m
mãi, tự_nhiên, nến, chay, hour, tivi, phố_cổ,  ,mũi, âm_u
tư_tưởng, lúc_nào_cũng, nhẹ, in/, gọi_điện_thoại, mà_lại, né,  ,bếp, trơn
an_viên, khu_nghỉ, chủ_ngữ, góp, nhà_nước, nhiễu, center,  ,bì, nhà_hàng_hải_sản
nha_trang, tổng_hợp, pizza, cái_tôi, đan, hình_ảnh, ban_đêm,  ,nha_trang, nước_ngọt
chạy_bộ, pax, cạnh_đó, đèn_ngủ, an_tâm, tiện, tại_nhà,  ,+, nước_quả
qua_lại, sự_nhiệt_tình, vẻ, ba_ngày, ưu_điểm, nho, sống,  ,trứng, hòn
mai, máy_sấy_tóc, quạt_trần, 1t7, kêu, tráng_miệng, hồ_chí_minh,  ,xịt, kiệm
như_thế, muốn., hình_dáng, cứu_trợ, công_phu, cửa_sổ, bì,  ,phòng_khách_sạn, dải_đất
cho_dù, xuất_hiện, anantara, tính_năng, cắt_khúc, bữa_ăn, đỏ,  ,liền, công_phu
vắng_vẻ, chất_liệu, chả, tại_sao, lung_linh, bưng, công_tác,  ,tầng_trệt, tận_tụy
sắp_xếp_xong,2012, bow, dầu_xoa, đúng_đắn, mũi_né, 8h,  ,đến_nỗi, vừa_miệng
xếp, hơi_lâu, trên_xe, cục, đoán, trung, điểm_tâm,  ,lazy, sao.
lung_tung, tận_tâm,  ,kinh_ngạc, lùa, hoạt_động, thực_sự_mình,  ,giải_trí, vote
carte, ý_tưởng,  ,cá_nhân, hiện_tại, vũng_tàu, trả_phòng,  ,lung_tung, đau_bụng
rèm, thúy,  ,hứng_thú, nhân, gia_vị, sớm,  ,kéo, chỉ_tiếc
che, câu_cá,  , ,ít_món, nướng, cơm_chiên,  ,tay, bếp_trưởng
chen_chúc, dầm,  , ,điển..xưa..cũ, kiểm_tra, nhẹ_nhàng,  ,trẻ_nhỏ, suất.
tay, đáng_chê_trách,  , ,cả_ăn, sealink, tản_bộ,  ,11h30, bên_cạnh
gần_gũi, lý_tưởng,  , ,liên_hệ, thương_mại, quá_trình,  ,mặn, không_chỉ
cám_ơn, nhân,  , ,thông_tin, mặc_dù, mail,  ,đáng, tọa
truy_cập, tách_biệt,  , ,ngàn_hoa, bậc, sắp_xếp_xong,  ,chiều_tối, màu_đen
bố, sự_trải,  , ,hồ_bơi_rất, thanh_tân, mỗi_ngày,  ,ban_đầu, mòn_mỏi
xà_phòng, tree,  , ,khác_biệt, thực_vật, .bày,  ,dỡ, sunrise
dỡ, sử,  , ,lông, gần_hết, áo,  ,niệm, vẽ_bản_đồ
28,  , , ,biệt_lập, uống, ăn_hết,  ,đông_lạnh, canh
dalat,  , , ,lẫn, điểm_không, 1tr5,  ,kiểu, voi
60-200k,  , , ,quốc_tế, đep, phòng_khách,  ,giường_ngủ,  
nghìn,  , , , ,chặt_chẽ, bàn_ghế,  ,khách_du_lịch,  
17h,  , , , ,hôm_đó, số_ít,  ,shuttle,  
mặt_mày,  , , , ,tinh_tế, việt,  ,đôi_lúc,  
âm_u,  , , , ,đề_nghị, đáng,  ,16h50,  
vừa_ý,  , , , ,cho_dù, chí,  ,vể,  
sự_yên_tĩnh,  , , , ,siêng_năng, charge,  ,nguyễn_đình_chiểu,  
di_chuyển,  , , , ,sai_sót, đà_nẵng,  ,có_mùi,  
sữa,  , , , ,quá_trình, xào,  ,hầm,  
kế_tiếp,  , , , ,điều_chỉnh, nghi.,  ,4.5usd,  
đi_nghỉ,  , , , ,gửi, thẻ,  ,cổ_kính,  
lát_đá,  , , , ,mail, chịu_khó,  ,lễ_phép,  
thăm,  , , , ,sáng_ngon, liệt,  ,chấp,  
lãng,  , , , ,chán, đơ,  ,nhà_ở,  
buối,  , , , ,thoát, kè,  ,giới_thiệu,  
gò_bó,  , , , ,xếp, nhà_hàng_hải_sản,  ,chào,  
làm_dâu,  , , , ,măc, phá,  ,vườn_cây,  
player,  , , , ,lá, pin,  ,trái,  
giống,  , , , ,đọng_lại, bàn_ủi,  ,nhanh_gọn,  
amatic,  , , , ,trang_nhã, người_làm_vườn,  ,nên_thơ,  
penthouse,  , , , ,anoasis, người_quen,  ,cơ_quan,  
xui,  , , , ,che, lãng,  ,trăm_họ,  
on,  , , , ,máy_tính, bỏ_lỡ,  ,sự_thay_đổi,  
tận_tâm,  , , , ,trượt, buối,  ,cột,  
hẻo_lánh,  , , , ,phân_biệt, bốc,  ,chủ_động,  
tận_tụy,  , , , ,em_bé_nhỏ, nhà_nước,  ,ẩm,  
lý_tưởng,  , , , ,hoa_sen, nầy,  ,gần_gủi,  
riviera,  , , , ,đập, ình,  ,được_cái,  
vị_ngữ,  , , , ,bắt_điện_thoại, sự_thay_đổi,  ,đặc_sản,  
bao_quát,  , , , ,quan_tâm, khách_quan,  ,lắm_khi,  
hòa..khâu,  , , , ,thú_vị,307,  ,tài_liệu,  
gì_đó,  , , , ,mỉm_cười, a_la,  ,on,  
đưa_vào,  , , , ,vỉ, bốn_biển,  ,tận_hưởng,  
giỏi,  , , , ,fusion,2012,  ,nơi_nghỉ,  
foam,  , , , ,đà_nẵng, vắng,  ,phái,  
suất.,  , , , ,ti, an_hoa,  ,21h,  
cửa_không,  , , , ,hướng_dẫn_viên, nghị,  ,ninh,  
thú,  , , , ,amaryllis, trưởng,  ,thiện_cảm,  
tài_xế,  , , , ,phong, ẩm_thực,  ,sư,  
thế_nhưng,  , , , ,di_chuyển, nếu_được,  ,western,  
ngàn_hoa,  , , , ,lãng_phí, vị_ngữ,  ,suốt,  
anantara,  , , , ,nhận., lộng_lẫy,  ,vừa_miệng,  
đĩa,  , , , ,chắn, lên_dốc,  ,river,  
lặp_lại,  , , , ,hài_hòa, ít_món,  ,mandara,  
kinh_khủng,  , , , ,dọc, phô_trương,  ,quay,  
sunrise,  , , , ,sáng_sớm, bờ_hồ_xuân_hương,  ,minh,  
duy_chỉ,  , , , ,bufet, anantara,  ,không_gì,  
trên_xe,  , , , ,nhanh_chóng, vần_đề,  ,kỳ_lạ,  
sử,  , , , ,thời_tiết, hoa_quả,  ,lò_sưởi,  
tam,  , , , ,quan_điểm, xe_máy,  ,cổ_điển,  
hôi,  , , , ,thư_thái, quốc_tế,  ,liên_hệ,  
sao_khac,  , , , ,km, dao_cạo,  ,phương_thức,  
 , , , , ,máy_bay,  , ,ngàn_hoa,  
 , , , , ,ít_có,  , ,pool,  
 , , , , ,khuôn_mặt,  , ,đĩa,  
 , , , , ,vinpearl,  , ,khác_biệt,  
 , , , , ,alacarte,  , ,nam,  
 , , , , ,bình,  , ,hồ_bơi_đẹp,  
 , , , , ,che_khuất,  , ,dich,  
 , , , , ,.mình,  , , , 
 , , , , ,lưng,  , , , 
 , , , , ,dc,  , , , 
 , , , , ,thấp,  , , , 
 , , , , ,tùm_lum,  , , , 
 , , , , ,chẳng_hạn,  , , , 
 , , , , ,an_hoa,  , , , 
 , , , , ,tổ_chức,  , , , 
 , , , , ,nghị,  , , , 
 , , , , ,trang_điểm,  , , , 
 , , , , ,thúy,  , , , 
 , , , , ,sự_chăm_sóc,  , , , 
 , , , , ,bổ_ích,  , , , 
 , , , , ,chèo_thuyển,  , , , 
 , , , , ,vịnh,  , , , 
 , , , , ,nhược_điểm,  , , , 
 , , , , ,mức_độ,  , , , 
 , , , , ,mái,  , , , 
 , , , , ,thứ_hai,  , , , 
 , , , , ,bếp_trưởng,  , , , 
 , , , , ,ấn_độ,  , , , 
 , , , , ,suất.,  , , , 
 , , , , ,tình.,  , , , 
 , , , , ,phòng_khoáng,  , , , 
 , , , , ,phúc,  , , , 
 , , , , ,bờ_hồ_xuân_hương,  , , , 
 , , , , ,cổ_tiện,  , , , 
 , , , , ,hứng_thú,  , , , 
 , , , , ,món_quà,  , , , 
 , , , , ,không_cần,  , , , 
 , , , , ,mòn_mỏi,  , , , 
 , , , , ,lặp_lại,  , , , 
 , , , , ,palm,  , , , 
 , , , , ,sinh_hoạt,  , , , 
 , , , , ,duy_chỉ,  , , , 
 , , , , ,aniise,  , , , 
 , , , , ,miễn_cưỡng,  , , , 
 , , , , ,phan_rang,  , , , 
 , , , , ,mìn,  , , , 
 , , , , ,trở_xuống,  , , , 
 , , , , ,nhung,  , , , 
